ROUTENAME|ROUTENUM
I135|135
I235|235
I335|335
I35|35
I435|435
I470|470
I635|635
I670|670
I70|70
K1|1
K10|10
K101|101
K102|102
K103|103
K104|104
K105|105
K106|106
K11|11
K110|110
K111|111
K112|112
K113|113
K114|114
K115|115
K116|116
K117|117
K119|119
K120|120
K121|121
K123|123
K126|126
K128|128
K13|13
K130|130
K131|131
K136|136
K137|137
K138|138
K139|139
K14|14
K140|140
K141|141
K143|143
K144|144
K146|146
K147|147
K148|148
K149|149
K15|15
K150|150
K152|152
K153|153
K156|156
K157|157
K16|16
K161|161
K167|167
K168|168
K170|170
K171|171
K173|173
K177|177
K178|178
K179|179
K18|18
K181|181
K182|182
K184|184
K185|185
K186|186
K187|187
K188|188
K189|189
K19|19
K190|190
K191|191
K192|192
K193|193
K194|194
K195|195
K196|196
K197|197
K198|198
K199|199
K2|2
K20|20
K201|201
K204|204
K209|209
K211|211
K212|212
K214|214
K215|215
K216|216
K218|218
K22|22
K223|223
K228|228
K23|23
K23 ALT|23
K232|232
K233|233
K234|234
K236|236
K237|237
K238|238
K239|239
K243|243
K244|244
K246|246
K247|247
K248|248
K249|249
K25|25
K251|251
K252|252
K253|253
K254|254
K255|255
K256|256
K258|258
K26|26
K260|260
K261|261
K264|264
K266|266
K267|267
K268|268
K27|27
K276|276
K278|278
K279|279
K28|28
K284|284
K3|3
K30|30
K31|31
K32|32
K33|33
K34|34
K360|360
K368|368
K383|383
K39|39
K4|4
K4 ALT|4
K41|41
K42|42
K43|43
K44|44
K47|47
K49|49
K5|5
K51|51
K52|52
K53|53
K55|55
K57|57
K58|58
K60|60
K61|61
K62|62
K63|63
K64|64
K65|65
K66|66
K67|67
K68|68
K7|7
K71|71
K78|78
K79|79
K8|8
K80|80
K82|82
K84|84
K85|85
K87|87
K88|88
K89|89
K9|9
K92|92
K94|94
K95|95
K96|96
K98|98
K99|99
US159|159
US160|160
US166|166
US166 BUS|166
US169|169
US169 BUS|169
US177|177
US183|183
US183 Y|183
US24|24
US24 BUS|24
US281|281
US283|283
US36|36
US40|40
US40 BUS|40
US400|400
US50|50
US50 BUS|50
US54|54
US56|56
US56 BUS|56
US59|59
US69|69
US69 ALT|69
US69 BUS|69
US73|73
US75|75
US75 BUS|75
US77|77
US81|81
US81 BUS|81
US83|83
US83 BUS|83
