FeatureClass|Field|Definition
RoadCenterline|STEWARD|The GNIS/INCITS code for the agency responsible for maintenance of the data.
RoadCenterline|L_UPDATE|The date of the last update of the record.
RoadCenterline|EFF_DATE|The date the record is or was scheduled to take effect.  For agencies not recording this information previously, the date of January 1, 2014 (20140101) can be used for all currently effective records"
RoadCenterline|EXP_DATE|The date the record is scheduled to expire.  This field shall only be populated if the record has a defined end date.  Example:  A road segment being permanently re-routed.
RoadCenterline|SEGID|The [SEGID] is an identifier used for tracking centerline segments within the local dataset (ex. 4658).  SEGID can be utilized as a way to link to an alternate road name table.
RoadCenterline|STATE_L|The 2-character state abbreviation designated on the Left side of the road segment.
RoadCenterline|STATE_R|The 2-character state abbreviation designated on the Right side of the road segment.
RoadCenterline|COUNTY_L|The designated county area on the Left side of the road segment.
RoadCenterline|COUNTY_R|The designated county area on the Right side of the road segment.
RoadCenterline|MUNI_L|(Municipality Left) - The name of the incorporated municipality where the address is located on the Left side of the road segment.  Only used if a named municipality exists, otherwise populate with 'Unincorporated.'"
RoadCenterline|MUNI_R|(Municipality Right) - The name of the incorporated municipality where the address is located on the Right side of the road segment.  Only used if a named municipality exists, otherwise populate with 'UNINCORPORATED.'"
RoadCenterline|L_F_ADD|(Left From Address),The beginning value of an address range, on the Left side of the road segment.
RoadCenterline|L_T_ADD|(Left To Address)  - The ending value of an address range, on the Left side of the road segment.
RoadCenterline|R_F_ADD|(Right From Address),The beginning value of an address range, on the Right side of the road segment.
RoadCenterline|R_T_ADD|(Right To Address),The ending value of an address range, on the Right side of the road segment.
RoadCenterline|PARITY_L|(Left Address Range Parity) - Parity of Address Range on the Left side of the road segment. Valid entries: E, O, B, Z for Even, Odd, Both, or Zero (if the range is 0 to 0).
RoadCenterline|PARITY_R|(Right Address Range Parity) - Parity of Address Range on the Right side of the road segment. Valid entries: E, O, B, Z for Even, Odd, Both, or Zero (if the range is 0 to 0).
RoadCenterline|POSTCO_L|(Postal Community Left) - The city name for the ZIP code of an address as given in the USPS City State file, on the Left side of the road segment.
RoadCenterline|POSTCO_R|(Postal Community Right) - The city name for the ZIP code of an address as given in the USPS City State file, on the Right side of the road segment.
RoadCenterline|ZIP_L|(Postal Code/ZIP Code Left) - The 5-digit postal or ZIP code identifies the Left side of the road segment.
RoadCenterline|ZIP_R|(Postal Code/ZIP Code Right) - The 5-digit postal or ZIP code identifies the Right side of the road segment.
RoadCenterline|ESN_L|(ESN Left) - The emergency service number on the Left side of the road segment.
RoadCenterline|ESN_R|(ESN Right) - The emergency service number on the Right side of the road segment.
RoadCenterline|MSAGCO_L|The MSAG Community name on the Left side of the road segment.
RoadCenterline|MSAGCO_R|The MSAG Community name on the Right side of the road segment.
RoadCenterline|PRD|(Pre-Directional),A cardinal direction abbreviation preceding the street name key.  Only N, S, E, W or NE, NW, SE, SW can be used.
RoadCenterline|STP|(Preceding Type),A Street type which precedes the street name key. This must always be spelled out fully.  Example:  AVENUE 3, not AVE 3.
RoadCenterline|RD|(Street Name),The name of the street as designated by the local addressing authority.
RoadCenterline|STS|(Street Post Type),An abbreviated suffix following the street name.  Valid values are limited to the abbreviations listed in USPS Publication 28, Appendix C1.
RoadCenterline|POD|(Post Directional) - A cardinal direction abbreviation following the street name key.  *Only N, S, E, W or NE, NW, SE, SW can be used.
RoadCenterline|POM|(Post Modifier),An additional value sometimes found on certain roads.  Valid values include but are not limited to: ACCESS, ALTERNATE, BUSINESS, BYPASS, CONNECTOR, EXTENDED, EXTENSION, LOOP, PRIVATE, PUBLIC, SCENIC, SPUR, RAMP, UNDERPASS, OLD, OVERPASS.
RoadCenterline|SPDLIMIT|(Speed Limit),Posted Speed Limit in mph.
RoadCenterline|ONEWAY|(One-Way),One way direction of travel. "
RoadCenterline|RDCLASS|(Road Class) Type of road from the domain.
RoadCenterline|LABEL|This value is the concatenation of the values found in the [PRM], [PRD], [STP], [NAME], [STS], [POD], and [POM] fields with the appropriate spacing interposed.  For aesthetics, proper case may be used. This field can be used to label the full street name in GIS application or map production.
